"id","betweenness","closeness_in","closeness_out","clust_coeff","degree","pagerank","strength_in","strength_out"
132,26.193598238495,0.00153374233128834,0.0016260162601626,0.382352941176471,17,0.000930222190910959,15,15
6,237.492927083405,0.00188679245283019,0.00203252032520325,0.400951410125722,109,0.00277817539248219,966,969
185,376.898158266465,0.00202020202020202,0.00205338809034908,0.216960479317894,264,0.00673239571094662,3525,3484
203,278.452364032718,0.00196850393700787,0.00200803212851406,0.208672408672409,260,0.00840888604956387,3211,3278
126,55.9379332198322,0.0019723865877712,0.00177935943060498,0.47005444646098,58,0.00089281861580006,60,54
46,185.52549691215,0.00196078431372549,0.00196078431372549,0.320671731307477,123,0.00256843135535285,699,669
90,252.65454280622,0.00198807157057654,0.00194552529182879,0.355932203389831,119,0.00303846239912467,820,815
137,37.3835983420688,0.00169204737732657,0.00176678445229682,0.463054187192118,29,0.000758701738314301,20,34
215,191.822936910576,0.00200803212851406,0.00203252032520325,0.269145157470992,206,0.00328601465118429,1405,1536
49,396.252985343903,0.00205338809034908,0.00210970464135021,0.255329370083468,183,0.00282121413264666,804,817
8,281.473991862869,0.00202429149797571,0.00200803212851406,0.285636645962733,161,0.00283631261371604,850,852
50,602.05983019057,0.00213219616204691,0.00211416490486258,0.241507936507937,225,0.00468912200276457,1535,1591
134,20.4694212063357,0.00162337662337662,0.00177304964539007,0.361904761904762,21,0.00101935140851178,12,14
84,54.2664238537037,0.00182149362477231,0.00190114068441065,0.289573820395738,73,0.00360403957603503,552,648
91,254.667684784108,0.00196850393700787,0.00204081632653061,0.224615068070368,242,0.00581706595740062,2711,2726
213,207.770786156275,0.00201612903225806,0.00204498977505112,0.30037417403073,159,0.00343116331236873,854,714
35,314.380636027531,0.00199600798403194,0.00194931773879142,0.319662793347004,133,0.00216137969241012,526,553
5,163.456055912754,0.00196078431372549,0.00185873605947955,0.351543209876543,81,0.00235775733558793,706,714
17,363.363883436103,0.00204081632653061,0.00209643605870021,0.303649068322981,161,0.00431055251214073,1597,1550
163,516.350429454832,0.00200803212851406,0.00213219616204691,0.19823057201698,309,0.00730923621864977,3733,3846
199,208.721120997773,0.00195694716242661,0.002,0.211238136324418,305,0.00931161109081374,4968,4972
51,333.5548827814,0.00199203187250996,0.00204918032786885,0.264901923443154,178,0.00326981190882399,1007,981
145,359.353445014122,0.00206611570247934,0.00198019801980198,0.182613222280062,340,0.013689563206425,7950,7861
2,278.082178283478,0.00191938579654511,0.0020703933747412,0.188989096782878,323,0.0138937819648366,8168,8434
189,201.64541658007,0.00211416490486258,0.00190114068441065,0.219920948616601,276,0.00863383723713111,4693,4713
152,246.119280489709,0.00203665987780041,0.00205761316872428,0.277136850740912,198,0.00464268798230932,1859,1932
196,190.043364834521,0.00192307692307692,0.00194174757281553,0.188598558237769,339,0.00855893058816124,4791,4800
133,7.94852250479748,0.00146412884333821,0.00164473684210526,0.490118577075099,23,0.000869414037013229,20,31
71,217.559002658387,0.00196078431372549,0.00208768267223382,0.249920888857635,239,0.00424032550900137,1919,1934
98,182.879945806608,0.00195694716242661,0.00196463654223969,0.328910728910729,111,0.00530898624320168,989,894
131,4.56448901888781,0.0015527950310559,0.00146198830409357,0.283333333333333,16,0.000926848515746721,14,17
14,290.587629923527,0.00206611570247934,0.00203252032520325,0.209984639016897,280,0.00791540964251693,3883,4296
193,347.037371656117,0.00206185567010309,0.00216919739696312,0.253828509748364,244,0.00420481062219106,2030,2060
183,198.382854247667,0.002,0.00196463654223969,0.224326909935766,271,0.00710931901712532,3674,3602
20,329.857766101759,0.00208333333333333,0.00211864406779661,0.252272727272727,176,0.00474708344512839,1417,1434
186,216.952039173811,0.00204498977505112,0.00191204588910134,0.282055611842846,189,0.00311227079947949,1391,1409
10,284.581537793479,0.00204918032786885,0.002,0.262089552238806,201,0.00392738578448286,1573,1607
66,22.7739770751489,0.00159489633173844,0.00175438596491228,0.426136363636364,33,0.0010075361888955,63,59
74,279.361107610019,0.00204498977505112,0.00210084033613445,0.265252135574538,191,0.00226869026960465,811,823
15,225.752060840092,0.00200803212851406,0.00198807157057654,0.292393410852713,129,0.00320011905988932,778,734
106,355.806626142958,0.00208768267223382,0.00204081632653061,0.23507386874873,263,0.00556858593179959,2720,2708
125,265.400820198049,0.00199203187250996,0.00204918032786885,0.24347855660987,243,0.00426651536725326,1966,1956
107,328.940292993263,0.0019723865877712,0.00197628458498024,0.348444444444444,126,0.00227393115887024,504,425
142,170.493468415287,0.00196850393700787,0.00202429149797571,0.239591977869986,241,0.00471748252050509,2313,2166
67,345.547388782012,0.00213219616204691,0.001953125,0.225418948067032,246,0.00510055940211826,2110,2104
62,18.0240802758342,0.00157977883096367,0.0017825311942959,0.386206896551724,30,0.00113228690335354,46,52
169,255.717834655306,0.00206185567010309,0.00203665987780041,0.289177193581427,203,0.00258623308132525,936,999
58,133.725786165917,0.00180831826401447,0.00200400801603206,0.226149325959212,264,0.00703365102055562,3750,3826
72,105.071534640376,0.00192307692307692,0.0019723865877712,0.245391903531438,216,0.00410248440200203,2041,2016
120,37.1471898143013,0.00179856115107914,0.00171526586620926,0.374384236453202,29,0.00116815436229439,29,18
42,183.971607634113,0.00206185567010309,0.00196078431372549,0.294953454189123,157,0.0031526442670409,977,849
28,221.379726261158,0.00195694716242661,0.00201207243460765,0.367420349434738,140,0.00210021488797068,581,555
99,226.121475242057,0.00202020202020202,0.00203665987780041,0.282298136645963,161,0.00252943091913544,796,788
198,146.987611899393,0.00189393939393939,0.00197628458498024,0.171425796425796,352,0.010348051425844,5729,5709
97,245.654608325386,0.0020703933747412,0.00195694716242661,0.394188972775109,94,0.0033291458020297,580,562
127,45.4225142395195,0.00182149362477231,0.00193798449612403,0.407070707070707,45,0.000821715821524294,55,61
111,299.38828162719,0.00207900207900208,0.00201612903225806,0.241025641025641,195,0.00326814092189786,1118,1270
115,129.509620887436,0.00197628458498024,0.00197628458498024,0.274249269200106,213,0.00463433776900651,2454,2423
174,155.964651529855,0.0019723865877712,0.001953125,0.273665074197776,218,0.00319871241664604,1461,1406
61,149.25296460695,0.00199600798403194,0.00189753320683112,0.355077624270047,119,0.0033120961903479,774,655
101,179.233770780698,0.00200400801603206,0.00192307692307692,0.303523035230352,82,0.00607192325827801,1080,1134
86,208.975082730088,0.00194552529182879,0.00189393939393939,0.24743935309973,106,0.00232237267288533,426,440
55,240.167550606783,0.00192307692307692,0.0020703933747412,0.256586047102139,178,0.00436400174642285,1347,1316
119,8.73837342711182,0.0014265335235378,0.00150829562594268,0.214285714285714,8,0.000845287673966325,2,5
39,303.301610205755,0.00202429149797571,0.00201612903225806,0.253689780005569,190,0.00379215585804183,1078,1063
129,6.67262446601739,0.00163934426229508,0.00163934426229508,0.353846153846154,26,0.001045077564884,39,37
108,239.483169134422,0.00194931773879142,0.00202429149797571,0.225664326036073,270,0.00396890047640478,1643,1648
158,188.119866097817,0.00205338809034908,0.00196850393700787,0.232926015151075,263,0.0076634368192046,4027,3926
155,183.072028488267,0.00197628458498024,0.00199203187250996,0.208500123548307,285,0.00882415417766549,4559,4492
54,212.433203273127,0.00198807157057654,0.00204081632653061,0.276145339652449,211,0.00424765676529503,1796,1795
9,107.946096589391,0.00195694716242661,0.00193798449612403,0.250400384368994,224,0.00347960944109637,1334,1308
184,321.996918829465,0.00213219616204691,0.00200400801603206,0.288693794128577,208,0.00362603017188577,1740,1816
205,167.758755661827,0.00193798449612403,0.00201612903225806,0.252936507936508,225,0.00748257343486762,3584,3601
201,303.62792630578,0.0021505376344086,0.00198019801980198,0.280687054880603,155,0.00821909107540327,1387,1370
12,718.353349647259,0.00206185567010309,0.00203665987780041,0.253529772866789,181,0.00531372921106748,1522,1522
79,12.7905532019777,0.00164203612479475,0.00171526586620926,0.456666666666667,25,0.0013296262730468,92,85
114,369.859594967512,0.00204918032786885,0.00222222222222222,0.239654886344782,246,0.00320903570859075,1413,1441
122,20.6467717499112,0.00149700598802395,0.001669449081803,0.25,17,0.000940809360334496,13,15
102,445.261775064293,0.00203665987780041,0.00204081632653061,0.203274072206111,309,0.00964435450228378,4483,4662
188,398.224305015367,0.00204081632653061,0.00210084033613445,0.21783705768178,284,0.00553541807648296,2749,2850
167,380.813896098738,0.00203665987780041,0.00202839756592292,0.227181462098022,247,0.00609085752198198,2443,2447
194,358.677862486031,0.00217864923747277,0.00193423597678917,0.222268394670545,278,0.00541801859077553,2448,2563
204,96.3574257941973,0.00202020202020202,0.00176056338028169,0.349163274536409,67,0.00444708599543087,693,702
77,670.122823405797,0.00206611570247934,0.00210970464135021,0.233664317745035,224,0.00526483385867659,1765,1706
32,319.510716118629,0.00203252032520325,0.00201612903225806,0.284702446148229,166,0.00371401893136117,1057,1117
178,546.67615298618,0.00201207243460765,0.00218818380743982,0.218385214007782,257,0.0067542063566188,2637,2792
121,0,0.00139275766016713,0.00104275286757039,0.333333333333333,3,0.000694265598030576,3,2
218,236.113889268672,0.00211416490486258,0.00194931773879142,0.287320877924905,149,0.00480527189030079,1404,1230
34,416.736171841003,0.00194931773879142,0.00191204588910134,0.285518188057653,94,0.00440057508484939,484,376
68,281.504214088056,0.00200400801603206,0.00208333333333333,0.329343858755623,154,0.00505516312343397,1430,1462
93,130.108048645015,0.00202020202020202,0.00187617260787992,0.426011264720942,63,0.00150428808440419,139,145
146,270.918757708953,0.00204498977505112,0.00213219616204691,0.295029929258117,149,0.00303270190227142,837,784
206,173.448836037877,0.00203665987780041,0.00196078431372549,0.341872380065207,114,0.00416023324863921,822,666
53,117.775277839128,0.00186915887850467,0.00189393939393939,0.388732394366197,71,0.00181687642205559,244,237
104,134.920678783904,0.00196850393700787,0.00185873605947955,0.305349324195698,103,0.00345605485498833,696,578
30,525.312134618374,0.00212765957446809,0.00218818380743982,0.250585480093677,245,0.00424296235946139,1967,2037
47,218.126170650223,0.00204081632653061,0.0020746887966805,0.236865472842978,233,0.00464322617302817,2059,2080
192,234.190760080956,0.00197628458498024,0.00202020202020202,0.263582089552239,201,0.00404884180276882,1362,1386
143,333.848401986223,0.00200400801603206,0.00209643605870021,0.228597764719438,264,0.00546717104867192,2620,2699
180,192.929352142928,0.00194552529182879,0.00205761316872428,0.23683506189361,245,0.00725910136216998,3550,3414
156,316.724514081688,0.00194931773879142,0.00205338809034908,0.2582931126944,229,0.00438900253278944,1990,1979
165,350.299927426228,0.00204918032786885,0.00211416490486258,0.227534136546185,250,0.00685048954795429,3461,3330
81,312.707017599093,0.00202020202020202,0.00206611570247934,0.25227812644045,238,0.00464515725136217,2279,2257
63,169.920720430374,0.00194174757281553,0.00196463654223969,0.290559732664996,190,0.00319618498708475,1410,1443
7,295.883210083821,0.00202020202020202,0.00200400801603206,0.273843967311304,199,0.00356197838962474,1235,1255
88,70.07722826649,0.0019047619047619,0.00175131348511384,0.305851063829787,48,0.00221355888681363,224,207
44,159.902474596888,0.001953125,0.00204498977505112,0.292546583850932,161,0.0035869175487741,1213,1126
45,219.889787840523,0.0019723865877712,0.00199600798403194,0.354945054945055,105,0.00220946085438796,523,523
109,211.085863863471,0.00201612903225806,0.00200803212851406,0.368222768222768,111,0.00349174663462498,985,902
19,202.321081225932,0.00200400801603206,0.00191204588910134,0.321252796420582,150,0.00397315748574733,1148,1135
176,198.003476807869,0.00202429149797571,0.00211416490486258,0.290909090909091,155,0.00246370712442721,848,865
219,243.928766593076,0.00205338809034908,0.00197628458498024,0.328160818197849,107,0.00233708217270153,460,545
96,252.655855267763,0.0020703933747412,0.00197628458498024,0.337791765014424,124,0.00270131727109145,612,452
100,608.789244224868,0.00203252032520325,0.00213219616204691,0.254580745341615,161,0.00268414085790724,724,767
105,205.575500819852,0.00204918032786885,0.001953125,0.306800766283525,145,0.00287200565930513,862,754
211,226.391900099453,0.00202020202020202,0.00195694716242661,0.245959847353576,246,0.00579036252212881,3073,3079
110,217.439294956595,0.00192678227360308,0.00204498977505112,0.199956859361519,305,0.00783215525890369,4017,4096
214,263.195258087997,0.00194552529182879,0.00210526315789474,0.274552756480467,166,0.00559204110271262,1250,1168
40,502.37756541291,0.00197628458498024,0.0021505376344086,0.280176600441501,151,0.00351223507824198,806,707
202,251.441806309336,0.00204498977505112,0.00199203187250996,0.254626762985896,171,0.0045887615646397,1305,1241
130,80.221765931574,0.00177304964539007,0.00175438596491228,0.303658536585366,41,0.000866355891149147,27,46
135,219.970360804066,0.00202429149797571,0.00188323917137476,0.403440441415125,79,0.000834610364548009,64,74
1,395.168461976674,0.0019723865877712,0.00206611570247934,0.167253493576201,358,0.0144101789411834,8074,8105
181,395.130439504301,0.00200803212851406,0.00209205020920502,0.233194207297793,252,0.0053174223553326,2548,2674
172,223.268961113746,0.00201207243460765,0.00193423597678917,0.21952211489578,281,0.006756781698694,3413,3395
150,338.145567954126,0.00199600798403194,0.00201207243460765,0.18784332232185,326,0.00913646046634047,4494,4554
149,211.254536033983,0.0019723865877712,0.00202429149797571,0.20756425437069,294,0.00644161685410042,3558,3724
153,334.161097392181,0.00206611570247934,0.00197628458498024,0.220117111885405,288,0.00686994193974267,3910,3978
157,133.035727777281,0.00184162062615101,0.00202429149797571,0.242330133634481,253,0.00433803648162443,2107,2171
136,271.657592146738,0.00207900207900208,0.00202429149797571,0.22163372859025,276,0.00670723031249478,3642,3637
65,278.732526598462,0.00204081632653061,0.00200803212851406,0.236630216940333,239,0.00382588517956905,1580,1586
161,338.19705824917,0.0020703933747412,0.002,0.216735402648144,272,0.00494208214863059,2198,2179
151,221.024353235944,0.00199203187250996,0.00201612903225806,0.213351899125861,279,0.00733973076055371,3672,3698
144,159.50296826775,0.00191204588910134,0.002,0.235883424408015,244,0.00423087526136723,2035,1986
89,138.348845938621,0.00200400801603206,0.00189035916824197,0.341463414634146,83,0.00421688556310016,526,412
164,280.600560935081,0.00200400801603206,0.00192678227360308,0.239695068474668,244,0.00486929026358474,2342,2298
140,11.737565345022,0.00169779286926995,0.00176056338028169,0.366995073891626,29,0.000854294159465733,21,32
85,488.169370231887,0.00209205020920502,0.00212314225053079,0.252390611416981,204,0.00308039669627781,1005,1054
31,451.783879017764,0.00206185567010309,0.0020746887966805,0.275145558463757,194,0.00313294315828263,1093,1076
3,268.084293273448,0.00192307692307692,0.00201612903225806,0.20726392251816,295,0.0109087799176004,5954,6057
187,192.689806298793,0.00198412698412698,0.00193423597678917,0.210960569741185,304,0.0094678631006909,5212,4897
124,129.230831254189,0.001953125,0.00186915887850467,0.408749145591251,77,0.00100904689873257,101,108
83,43.5855519640562,0.00177935943060498,0.00173310225303293,0.334343434343434,45,0.00557208329051006,875,845
4,144.932342804474,0.00199203187250996,0.00191938579654511,0.231646586345382,250,0.00609993360404922,2630,2649
60,164.791979083734,0.00196850393700787,0.00201207243460765,0.297274220032841,175,0.00387406153441433,1401,1299
59,184.45163222647,0.00204498977505112,0.00196078431372549,0.276481966093981,188,0.00346537070929097,1414,1387
76,148.459373330568,0.00193050193050193,0.00198412698412698,0.288416501531256,183,0.00336029453135959,1321,1369
80,230.824845070398,0.0019723865877712,0.00207900207900208,0.301823185414517,171,0.00200132335899508,672,673
123,22.6007783597083,0.00172413793103448,0.00173611111111111,0.370499419279907,42,0.000831175200424691,50,48
29,264.601144631477,0.00201207243460765,0.00202429149797571,0.24644966695991,219,0.00339725156130596,1364,1387
195,284.570956520926,0.00201612903225806,0.00201207243460765,0.262600761803526,213,0.00327940823208955,1280,1325
13,287.133773400356,0.00204918032786885,0.00203665987780041,0.263305322128852,154,0.00362204965436647,979,1023
128,3.50122744908467,0.00161550888529887,0.0015600624024961,0.278947368421053,20,0.00117228527581168,21,20
200,254.941424751143,0.00202020202020202,0.00191570881226054,0.184976258309592,325,0.0154703685262136,7963,8380
113,156.331273639366,0.00193798449612403,0.00196463654223969,0.175309046254605,350,0.0130911940334131,7056,7059
43,98.890733078419,0.00187265917602996,0.00191570881226054,0.355421686746988,84,0.0025039108305381,413,319
170,266.128608414524,0.002,0.00202429149797571,0.229547933583808,223,0.0043154270485308,1999,1989
171,274.813082810089,0.00204918032786885,0.00204081632653061,0.24031527754486,268,0.00632878840072619,3243,3235
75,218.433661074489,0.00205338809034908,0.00202020202020202,0.264047510278666,199,0.00480550427532548,2069,1997
16,256.987184265719,0.00210526315789474,0.00201207243460765,0.2754458656098,183,0.00318536608746373,1079,1094
56,356.844465056934,0.001953125,0.002,0.28238937169114,142,0.00364382830561247,852,701
103,33.2038174614695,0.00169779286926995,0.00160513643659711,0.270161290322581,32,0.00188736806713872,155,187
94,108.1946021114,0.00185873605947955,0.00185528756957328,0.318198198198198,75,0.00392603675055989,503,425
160,333.711468534481,0.00203252032520325,0.00200400801603206,0.242719080579862,248,0.00484614726325449,2148,2101
118,259.012904070173,0.0020746887966805,0.00192678227360308,0.306868987942013,122,0.00135697244077222,252,264
78,81.4431446909189,0.00184842883548983,0.00181488203266788,0.354851330203443,72,0.00223466793645468,266,151
22,368.740744971495,0.00213219616204691,0.00199203187250996,0.352530382731725,149,0.00246701118078417,807,806
209,390.843838062377,0.00211864406779661,0.00205761316872428,0.259549141902083,222,0.00534316636153303,1919,1836
27,333.793896567503,0.00202429149797571,0.00204081632653061,0.270363439377524,143,0.00308822082646066,805,823
25,156.116627847936,0.00195694716242661,0.0019723865877712,0.202588181401741,296,0.0112824615618615,6360,6472
191,162.888859705955,0.00188323917137476,0.0018796992481203,0.182241085328786,329,0.00886054650875227,4833,4817
18,267.892255371991,0.0020746887966805,0.00202429149797571,0.254453548571196,222,0.00406790230343042,1629,1491
147,197.760129990896,0.00204498977505112,0.00199600798403194,0.260831781502173,180,0.00351418260910877,1388,1378
179,230.824342243225,0.00206611570247934,0.00192678227360308,0.231531144961739,237,0.00571494822022625,2582,2507
159,172.361176498091,0.00193798449612403,0.00210084033613445,0.225056403450564,275,0.00608124896936328,3123,3214
141,376.764097337758,0.00208333333333333,0.00203252032520325,0.281867290171733,158,0.00278150134393041,727,752
216,338.484463722609,0.00209643605870021,0.00206611570247934,0.299455383326351,155,0.00322463862642193,932,883
220,202.105824611768,0.00201207243460765,0.00189035916824197,0.339824732229796,79,0.00228388777996509,183,166
212,327.613946321532,0.0020746887966805,0.00209643605870021,0.277137287663603,190,0.00478771066127542,1839,1787
87,37.0888619098548,0.00175746924428822,0.00175438596491228,0.330196078431373,51,0.00210730963763303,259,241
148,257.8342074872,0.0019723865877712,0.002,0.189827582972177,327,0.00974050713442957,5318,5321
95,272.122890464395,0.00203665987780041,0.00190839694656489,0.288278388278388,105,0.0103314997902912,1856,1473
117,32.3570077762502,0.0015527950310559,0.00176056338028169,0.238095238095238,28,0.00200458510365084,235,273
116,127.922150755374,0.00192678227360308,0.00191938579654511,0.301740096260644,74,0.00164681758025999,249,334
173,451.139752284176,0.0020703933747412,0.0021551724137931,0.249990167158309,226,0.00652702374388034,2810,2772
138,83.4526739550292,0.00189035916824197,0.00196850393700787,0.242395497375577,252,0.00566447320149786,2566,2489
69,231.390578571214,0.00195694716242661,0.0019723865877712,0.202335124159228,308,0.00934419815415366,4817,5008
162,365.885223526936,0.00211416490486258,0.00199203187250996,0.269000736105999,209,0.00346041317171019,1392,1400
177,242.914619331623,0.00209643605870021,0.00203665987780041,0.256589958158996,240,0.0047993872470892,2502,2559
182,306.372361035087,0.00204918032786885,0.0019723865877712,0.211382889869944,290,0.00817484658218983,4423,4539
33,162.761513451045,0.00206185567010309,0.00197628458498024,0.288148762042888,197,0.00277983007867051,1260,1283
217,18.0832580356357,0.00188679245283019,0.00153609831029186,0.396615547329455,62,0.00384651939090499,532,423
23,203.955304522014,0.00206611570247934,0.00198019801980198,0.28222127174223,168,0.00341890204904244,1262,1280
208,393.821463569511,0.00209205020920502,0.0020746887966805,0.266088568935428,192,0.00475419522439601,1784,1714
73,347.418116551171,0.00210970464135021,0.00198807157057654,0.246081105655574,235,0.0066583258845928,2765,2726
70,183.844364220109,0.00198807157057654,0.00199203187250996,0.215048183839881,285,0.0099539490646388,5300,5193
82,333.401890512833,0.00202839756592292,0.00205761316872428,0.304297565619475,172,0.00308479779813165,970,995
38,199.650359250578,0.00187265917602996,0.00198019801980198,0.222902888966237,170,0.00356772345785699,1050,1090
41,2.16515258880455,0.00158730158730159,0.00145772594752187,0.270833333333333,33,0.00326849699320021,464,539
24,213.584597377604,0.00203665987780041,0.00194174757281553,0.304179566563468,153,0.00334200472485637,1264,1320
48,203.739532539154,0.00201207243460765,0.00201612903225806,0.22928870292887,240,0.00489131442233643,1974,2046
37,165.999143441462,0.00202839756592292,0.00191204588910134,0.260952380952381,175,0.00255073055162601,769,733
57,206.137869938688,0.00201612903225806,0.00185528756957328,0.330060776063581,93,0.00226519737769404,507,477
112,150.973183322312,0.00187617260787992,0.00200400801603206,0.195400180224461,313,0.00643008552276768,3273,3397
64,289.7114135294,0.00204081632653061,0.00202839756592292,0.252351097178683,232,0.00417171214295775,1764,1835
197,294.365596115826,0.00204498977505112,0.00204498977505112,0.245112064854554,234,0.00481881274637397,2246,2357
139,212.992711427238,0.00206611570247934,0.00196078431372549,0.230971887550201,250,0.00636278495367962,3225,3253
175,243.802413423303,0.00202020202020202,0.00207900207900208,0.232289156626506,250,0.00576794632970913,3076,3165
26,308.848628824458,0.00205338809034908,0.00206611570247934,0.287035333087965,209,0.0040954119014369,1814,1817
52,135.968557335177,0.00190114068441065,0.00202020202020202,0.301015452538631,151,0.00260369671457296,900,936
92,11.4348648780878,0.00172413793103448,0.00170357751277683,0.346846846846847,37,0.00286639431575827,416,434
36,329.818530957926,0.00203252032520325,0.00201207243460765,0.21768475427012,287,0.00642688175200235,2975,3018
154,173.615202160958,0.00202020202020202,0.00196078431372549,0.202178602243313,305,0.00717588887761903,3920,3910
210,211.510523450393,0.00198807157057654,0.00198807157057654,0.240506329113924,237,0.00643005272180191,2903,2849
11,252.759600763086,0.00212765957446809,0.00192307692307692,0.258213881089602,202,0.00376758633999341,1438,1485
190,247.343922707175,0.00204498977505112,0.00201207243460765,0.274477611940299,201,0.00304012171788385,1417,1410
221,242.612289994365,0.00203665987780041,0.00191570881226054,0.305297876726448,99,0.00213873128194499,329,270
166,266.541445984048,0.00201612903225806,0.002,0.254869925851452,219,0.00391004168334222,1544,1501
168,84.6081329000653,0.00196078431372549,0.00183150183150183,0.279349066234312,183,0.00274936175027075,1212,1182
207,334.267765433559,0.00205761316872428,0.00199600798403194,0.226222949627205,235,0.00576876846141562,2106,2049
21,387.349474344442,0.00202020202020202,0.00204498977505112,0.267814927389395,189,0.00404115837747796,1177,1213
